# {"cfg": "D:\\python1\\chapter2_LLM+RL_region_detection\\configs\\cc4_local_online.yaml", "region_id": 0, "device": "cpu", "steps_per_episode": 100, "episodes": 20, "seed": 0, "deterministic": true, "wm_path": "D:\\python1\\chapter2_LLM+RL_region_detection\\outputs\\cc4\\checkpoints\\world_model_region0.pt", "ppo_path": "D:\\python1\\chapter2_LLM+RL_region_detection\\outputs\\cc4\\checkpoints\\ppo_posterior_region0.pt"}

# ===== EPISODE 0 =====
[ep=00 t=0000] choose_plan=1 action=2 reward=0.304 info={'t': 1, 'max_steps': 100, 'dominant_type': 'proc_spawn', 'target_action': 2, 'prev_risk': 0.29097627007854654, 'risk': 0.20451171277871438}
[ep=00 t=0001] choose_plan=4 action=2 reward=0.617 info={'t': 2, 'max_steps': 100, 'dominant_type': 'proc_spawn', 'target_action': 2, 'prev_risk': 0.20451171277871438, 'risk': 0.1012416454205122}
[ep=00 t=0002] choose_plan=1 action=2 reward=-0.141 info={'t': 3, 'max_steps': 100, 'dominant_type': 'auth_fail', 'target_action': 1, 'prev_risk': 0.1012416454205122, 'risk': 0.0617742482080879}
[ep=00 t=0003] choose_plan=2 action=1 reward=0.124 info={'t': 4, 'max_steps': 100, 'dominant_type': 'proc_spawn', 'target_action': 2, 'prev_risk': 0.0617742482080879, 'risk': 0.02546811390274885}
[ep=00 t=0004] choose_plan=3 action=2 reward=-0.035 info={'t': 5, 'max_steps': 100, 'dominant_type': 'port_scan', 'target_action': 1, 'prev_risk': 0.02546811390274885, 'risk': 0.00010484185152773162}
[ep=00 t=0005] choose_plan=5 action=1 reward=0.459 info={'t': 6, 'max_steps': 100, 'dominant_type': 'auth_fail', 'target_action': 1, 'prev_risk': 0.00010484185152773162, 'risk': 0.0159925291903502}
[ep=00 t=0006] choose_plan=5 action=1 reward=0.085 info={'t': 7, 'max_steps': 100, 'dominant_type': 'outbound_conn', 'target_action': 2, 'prev_risk': 0.0159925291903502, 'risk': 0.003850650519559566}
[ep=00 t=0007] choose_plan=3 action=2 reward=0.335 info={'t': 8, 'max_steps': 100, 'dominant_type': 'proc_spawn', 'target_action': 2, 'prev_risk': 0.003850650519559566, 'risk': 0.0}
[ep=00 t=0008] choose_plan=2 action=2 reward=0.295 info={'t': 9, 'max_steps': 100, 'dominant_type': 'proc_spawn', 'target_action': 2, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0009] choose_plan=4 action=2 reward=0.295 info={'t': 10, 'max_steps': 100, 'dominant_type': 'proc_spawn', 'target_action': 2, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0010] choose_plan=3 action=2 reward=-0.211 info={'t': 11, 'max_steps': 100, 'dominant_type': 'port_scan', 'target_action': 1, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0011] choose_plan=1 action=1 reward=-0.023 info={'t': 12, 'max_steps': 100, 'dominant_type': 'outbound_conn', 'target_action': 2, 'prev_risk': 0.0, 'risk': 0.011298821905407486}
[ep=00 t=0012] choose_plan=4 action=2 reward=-0.117 info={'t': 13, 'max_steps': 100, 'dominant_type': 'auth_fail', 'target_action': 1, 'prev_risk': 0.011298821905407486, 'risk': 0.0}
[ep=00 t=0013] choose_plan=5 action=1 reward=0.043 info={'t': 14, 'max_steps': 100, 'dominant_type': 'proc_spawn', 'target_action': 2, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0014] choose_plan=3 action=2 reward=-0.190 info={'t': 15, 'max_steps': 100, 'dominant_type': 'auth_fail', 'target_action': 1, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0015] choose_plan=2 action=1 reward=0.520 info={'t': 16, 'max_steps': 100, 'dominant_type': 'auth_fail', 'target_action': 1, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0016] choose_plan=0 action=1 reward=-0.005 info={'t': 17, 'max_steps': 100, 'dominant_type': 'outbound_conn', 'target_action': 2, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0017] choose_plan=5 action=2 reward=0.333 info={'t': 18, 'max_steps': 100, 'dominant_type': 'outbound_conn', 'target_action': 2, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0018] choose_plan=5 action=2 reward=0.295 info={'t': 19, 'max_steps': 100, 'dominant_type': 'proc_spawn', 'target_action': 2, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0019] choose_plan=1 action=2 reward=-0.167 info={'t': 20, 'max_steps': 100, 'dominant_type': 'port_scan', 'target_action': 1, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0020] choose_plan=2 action=1 reward=0.478 info={'t': 21, 'max_steps': 100, 'dominant_type': 'auth_fail', 'target_action': 1, 'prev_risk': 0.0, 'risk': 0.021118720621820165}
[ep=00 t=0021] choose_plan=0 action=1 reward=0.714 info={'t': 22, 'max_steps': 100, 'dominant_type': 'auth_fail', 'target_action': 1, 'prev_risk': 0.021118720621820165, 'risk': 0.0}
[ep=00 t=0022] choose_plan=3 action=1 reward=0.050 info={'t': 23, 'max_steps': 100, 'dominant_type': 'proc_spawn', 'target_action': 2, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0023] choose_plan=4 action=2 reward=-0.198 info={'t': 24, 'max_steps': 100, 'dominant_type': 'port_scan', 'target_action': 1, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0024] choose_plan=2 action=1 reward=-0.005 info={'t': 25, 'max_steps': 100, 'dominant_type': 'outbound_conn', 'target_action': 2, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0025] choose_plan=0 action=2 reward=0.351 info={'t': 26, 'max_steps': 100, 'dominant_type': 'outbound_conn', 'target_action': 2, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0026] choose_plan=0 action=2 reward=-0.215 info={'t': 27, 'max_steps': 100, 'dominant_type': 'port_scan', 'target_action': 1, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0027] choose_plan=3 action=1 reward=0.023 info={'t': 28, 'max_steps': 100, 'dominant_type': 'proc_spawn', 'target_action': 2, 'prev_risk': 0.0, 'risk': 0.0}
[ep=00 t=0028] choose_plan=2 action=2 reward=-0.151 info={'t': 29, 'max_steps': 100, 'dominant_type': 'port_scan', 'target_action': 1, 'prev_risk': 0.0, 'risk': 0.0}
